Location;Capacity Glass;EmptyTimeGlass;Mean Glass;Std glass;Capacity Plastic;EmptyTimePlastic;mean plastic;std plastic
129;6.6;6;0.015358794;0.000806984;6.6;6;0.011946231;0.000634985
130;1.65;3;0.040231658;0.002029692;1.65;3;0.038113065;0.001963693
131;6.6;6;0.059180402;0.003066991;6.6;6;0.054155779;0.002466883
132;1.65;3;0.005809548;0.000303946;1.65;3;0.009317588;0.000494661
133;1.65;3;0.007365829;0.00038839;0;0;0;0
134;3.3;4;0.042158291;0.001941238;3.3;4;0.027641709;0.001387105
135;1.65;3;0.01631005;0.000859292;1.65;3;0.011411055;0.00056343
136;1.65;3;0.0005;3.26081E-19;1.65;3;0.015095477;0.000758674
137;1.65;3;0.04281809;0.001945644;1.65;3;0.023448744;0.001157752
138;1.65;3;0.017892965;0.00086588;1.65;3;0.017188945;0.000837371
139;1.65;3;0.003673869;0.000197511;0;0;0;0
140;1.65;3;0.024814573;0.001189363;1.65;3;0.023914573;0.001263928
141;1.65;3;0.047973367;0.002654659;1.65;3;0.059359296;0.003099446
142;1.65;3;0.009466834;0.0005259;1.65;3;0.011930653;0.000638982
143;1.65;3;0.019094975;0.000908309;1.65;3;0.004617588;0.000223928
144;1.65;3;0.029472362;0.001522189;1.65;3;0.046923116;0.002348515
145;1.65;3;0.010044724;0.000549894;1.65;3;0.01041206;0.0005872
146;1.65;3;0.014790452;0.000685977;1.65;3;0.015042211;0.000740275
147;1.65;3;0.001049749;5.49328E-05;0;0;0;0
148;1.65;3;0.016918593;0.00087132;1.65;3;0.013900503;0.000674012
149;1.65;3;0.063851759;0.002828174;1.65;3;0.05661809;0.002814998
150;1.65;3;0.004701005;0.000243707;1.65;3;0.005705528;0.000289757
151;1.65;3;0.018368844;0.000994446;1.65;3;0.031984422;0.001576759
152;1.65;3;0.023343719;0.001156994;1.65;3;0.0255;0.001255654
153;1.65;3;0.029627136;0.001455178;1.65;3;0.029580402;0.001417306
154;3.3;4;0.075674874;0.004351195;3.3;4;0.064613065;0.003294904
155;1.65;3;0.025461307;0.001324501;1.65;3;0.030322613;0.001593973
156;1.65;3;0.029019095;0.001483967;1.65;3;0.022357286;0.001156726
157;1.65;3;0.007907538;0.000393371;0;0;0;0
158;1.65;3;0.031659296;0.001553231;1.65;3;0.032142714;0.001576736
159;3.3;4;0.088459799;0.004404405;3.3;4;0.075853769;0.003724092
160;1.65;3;0.006350251;0.000328583;1.65;3;0.004639196;0.000241568
161;1.65;3;0.023241709;0.001117094;1.65;3;0.011933668;0.000625326
162;1.65;3;0.002063819;0.000113251;1.65;3;0.005731658;0.000297723
163;1.65;3;0.012208543;0.000641792;1.65;3;0.003577889;0.000192311
164;1.65;3;0.009973367;0.000593946;1.65;3;0.008300503;0.00042646
